Date, Open, High, Low,Close, Volume,Adj Close,,,,,,,,,,
12/12/80,28.75,28.87,28.75,28.75,117258400,0.45,,,,,,,,,,
12/15/80,27.38,27.38,27.25,27.25,43971200,0.42,,,,,,,,,,
12/16/80,25.37,25.37,25.25,25.25,26432000,0.39,,,,,,,,,,
12/17/80,25.87,26,25.87,25.87,21610400,0.4,,,,,,,,,,
12/18/80,26.63,26.75,26.63,26.63,18362400,0.41,,,,,,,,,,
12/19/80,28.25,28.38,28.25,28.25,12157600,0.44,,,,,,,,,,
12/22/80,29.63,29.75,29.63,29.63,9340800,0.46,,,,,,,,,,
12/23/80,30.88,31,30.88,30.88,11737600,0.48,,,,,,,,,,
12/24/80,32.5,32.63,32.5,32.5,12000800,0.51,,,,,,,,,,
12/26/80,35.5,35.62,35.5,35.5,13893600,0.55,,,,,,,,,,
12/29/80,36,36.13,36,36,23290400,0.56,,,,,,,,,,
12/30/80,35.25,35.25,35.12,35.12,17220000,0.55,,,,,,,,,,
12/31/80,34.25,34.25,34.13,34.13,8937600,0.53,,,,,,,,,,
1/2/81,34.5,34.75,34.5,34.5,5415200,0.54,,,,,,,,,,
1/5/81,33.87,33.87,33.75,33.75,8932000,0.53,,,,,,,,,,
1/6/81,32.37,32.37,32.25,32.25,11289600,0.5,,,,,,,,,,
1/7/81,31,31,30.88,30.88,13921600,0.48,,,,,,,,,,
1/8/81,30.37,30.37,30.25,30.25,9956800,0.47,,,,,,,,,,
1/9/81,31.88,32,31.88,31.88,5376000,0.5,,,,,,,,,,
1/12/81,31.88,31.88,31.62,31.62,5924800,0.49,,,,,,,,,,
1/13/81,30.63,30.63,30.5,30.5,5762400,0.48,,,,,,,,,,
1/14/81,30.63,30.75,30.63,30.63,3572800,0.48,,,,,,,,,,
1/15/81,31.25,31.5,31.25,31.25,3516800,0.49,,,,,,,,,,
1/16/81,31.12,31.12,31,31,3348800,0.48,,,,,,,,,,
1/19/81,32.87,33,32.87,32.87,10393600,0.51,,,,,,,,,,
